Repository Name,Last Pushed At,Status
project-adobe-commerce,,Active
Concourse-NG,,Active
myMTN-NG-App-DXL,,Active
myMTNNG_Web,,Active
terraform-azurerm-caf,,Active
Code-Management,,Active
TaaS_CLMAutomation,,Active
TaaS_BiosmartAutomation,,Active
TaaS_MyMTNWebAutomation,,Active
TaaS_PSBAutomation,,Active
TaaS_NIN799USSDAutomation,,Active
TaaS_MyMTNAppStaging,,Active
TaaS_MyMTNAppProduction,,Active
TaaS_NxtGenStaging,,Active
TaaS_NxtGenProduction,,Active
TaaS_CDRExtraction,,Active
TaaS_TDM.git,,Active
In_House_Dev,,Active
TaaS_Chatbot,,Active
TaaS_USSDCodes,,Active
DMS-2.git,,Active
SSP-2.git,,Active
myMTN-NG-Refund,,Active
web.git,,Active
Activity-Tracker-Frontend,,Active
Activity-Tracker-Backend,,Active
myMTNNG_App_Config,,Active
After-Sales-Support,,Active
Amazon-Tribe-Frontend,,Active
Amazon-Tribe-Backend,,Active
DMS-Third-Party-Service,,Active
PPP-API.git,,Active
Design-Council,,Active
mtnn_fleet_app,,Active
MTN-CAREER-FAIR,,Active
Avatar-Portal,,Active
APP-PAD-Frontend,,Active
APP-PAD-Backend,,Active
NPG-myMTN.git,,Active
myMTN-NG-Core,,Active
Avatar_portal_backend,,Active
SME-Hive.git,,Active
Enterprise_License_Manager,,Active
Design_Coucil_frontend,,Active
Design_Council,,Active
ng-tkgi-platform,,Active
PrestigeAirport_Frontend,,Active
myMTNNG_Play,,Active
myMTNNG_Mpulse,,Active
SME-HIVE-Fronted,,Active
SODR_ANSIBLE,,Active
MOMO-APP.git,,Active
OWC.git,,Active
ESF.git,,Active
OWC-Dev.git,,Active
ESF-Dev.git,,Active
YelloVerse.git,,Active
Prestige_Backend,,Active
VOC_Frontend,,Active
VOC_Backend,,Active
Helm-Charts,,Active
myMTNNG.git,,Active
MTN-GIFT-SPFX,,Active
MTNConfirmation,,Active
MTNPersona.git,,Active
SSP-BACKOFFICE_1,,Active
Discussions,,Active
Event_APP_Frontend,,Active
Event_APP_Backend,,Active
